# Real-data training matrix for KCL CREATE.
#
# One row = one Slurm array task = one (dataset, policy, cameras) training run.
# Submit with `bash hpc/submit_real.sh` on a CREATE login node; it filters these
# rows, checks each dataset is staged, snapshots what it submits, and groups the
# rows by wall time so a short cell does not queue behind a long reservation.
#
# Columns, whitespace-separated. `-` means "use the driver's default for this
# policy" (test/system/long_vla_real.sh). `extra` is the LAST column and may
# contain spaces: it is passed to lerobot-train verbatim, so any flag the driver
# does not name is still reachable from here.
#
#   dataset : directory name staged under $HF_LEROBOT_HOME/local/
#   policy  : act | diffusion | pi05 | fastwam, or one of the ports and models
#             this repo defines: so101_act | so101_diffusion | so101_pi05 |
#             so101_flowmatch | so101_dreamzero. A port takes its twin's
#             defaults, so `so101_act` and `act` differ only in whose code runs.
#   cameras : `all`, or a comma list of camera names with NO spaces. `all` is
#             the dataset's own cameras and never a composite; a COMPOSITE
#             (tactile_quad, which tiles the four fingertip cameras 2x2 into
#             one image feature) has to be named, because spending one view on
#             four cameras is a choice about what the policy sees.
#   steps   : optimiser steps          (default: act 80000, diffusion 100000, pi05 30000)
#   batch   : batch size               (default: act 8, diffusion 32, pi05 8)
#             pi05 MUST be 4 on a 40 GB A100: batch 8 OOMs at 39.22 GiB
#             (MEASURED). LoRA shrinks optimiser state, not the activations
#             of a 4.1B model reading three cameras; batch 4 sits at 34 GB.
#   hours   : Slurm wall time, hours   (rows sharing a value share one array)
#   slots   : pi0.5 only: which pretrained image slot each camera is fed into,
#             as camera=slot pairs with no spaces
#             (central=base,left_arm_left_gripper=left_wrist; slots are base,
#             left_wrist, right_wrist). `-` derives it: a camera whose
#             viewpoint pi0.5 knows takes that slot by name, and one it does
#             not -- every tactile camera -- takes the next free slot in order.
#             pi0.5 has THREE slots, so a pi05 row naming more cameras than
#             that is refused rather than quietly trained on fewer.
#   extra   : raw lerobot-train flags, or `-`
#
# The job builds a camera VIEW of the dataset for each distinct `cameras` value
# -- same episodes and actions, only the visible cameras differ -- and trains on
# that, so a row's run directory is named <dataset>__<camera slug>. Views cost a
# few MB each: they share the source's video files by symlink.
#
# Left out on purpose: short_fold (1 episode) and cube-dual-pnp (2 episodes) are
# smoke-sized, not training-sized -- use them with test/system/smoke_vla_real.sh.
#
# dataset            policy     cameras                          steps   batch  hours  extra
#
# --- camera ablation on cube-pnp-new: all three, central+left wrist, left wrist
cube-pnp-new         act        all                              80000   8      36     -       -
cube-pnp-new         act        central,wrist_camera_left        80000   8      36     -       -
cube-pnp-new         act        wrist_camera_left                80000   8      36     -       -
cube-pnp-new         diffusion  all                              100000  32     36     -       -
cube-pnp-new         diffusion  central,wrist_camera_left        100000  32     36     -       -
cube-pnp-new         diffusion  wrist_camera_left                100000  32     36     -       -
cube-pnp-new         pi05       all                              30000   4      36     -       -
cube-pnp-new         pi05       central,wrist_camera_left        30000   4      36     -       -
cube-pnp-new         pi05       wrist_camera_left                30000   4      36     -       -
#
# --- earlier datasets, trained on every camera
cube-pnp             act        all                              80000   8      24     -       -
cube-pnp             diffusion  all                              100000  32     24     -       -
cube-dual-pnp-new    act        all                              80000   8      36     -       -
cube-dual-pnp-new    diffusion  all                              100000  32     36     -       -
fold-short           act        all                              80000   8      36     -       -
fold-short           diffusion  all                              100000  32     36     -       -
#
# --- fold-short-from-flattend-tactile: five cameras, four of them tactile.
# The first two see everything; the pi05 rows are an ablation over which THREE
# of the five reach its three slots (it has no more, and no slot was pretrained
# on a gel image, so the assignment is worth stating rather than deriving).
# The fastwam row is REFUSED until the LeRobot pin ships policies/fastwam --
# it needs its cameras tiled into one 224x448 frame, which is what tactile_quad
# is for. See documents/training_destinations.md.
#
# INPUT-STREAM ABLATION. `all` is the five cameras; `central` is the overhead
# RGB alone; the four *_gripper rows are the fingertips alone. Together they
# separate what vision contributes from what touch does, which neither `all`
# nor a single row can say by itself. It is the TRAINING half of that question
# -- what a policy could learn from each stream -- and reads alongside the
# attribution half, which asks what a trained policy actually uses
# (tool/analyse_policy_inputs.py). A stream a policy could do without is not
# the same as one it ignores, and the two halves disagreeing is a result.
#
# BATCH IS HELD FIXED across the camera sets of one policy. Vary it and the
# comparison confounds capacity with input, which is the one thing this table
# exists to separate. act is pinned at 8 by the row that has already finished
# (thanos, 80000 steps, 11.27 GB peak, final train loss 0.075). diffusion has
# not completed anywhere yet -- the thanos attempt died at step 1 323 when the
# box rebooted, at 8.70 GB of 24.5 with batch 16 -- so if 32 turns out not to
# fit wherever these run, change ALL THREE diffusion rows together and not just
# the one that failed.
fold-short-from-flattend-tactile act       all                              80000   8      36     -       -
